loan_amnt,term,annual_inc,purpose,home_ownership,outcome
11000,60 months,59004,home_improvement,MORTGAGE,paid off
14000,36 months,120000,credit_card,RENT,default
10000,36 months,110000,small_business,MORTGAGE,default
23350,60 months,65000,debt_consolidation,MORTGAGE,default
12000,60 months,49000,major_purchase,MORTGAGE,paid off
20000,36 months,103000,other,MORTGAGE,paid off
5000,36 months,50000,major_purchase,MORTGAGE,default
13650,60 months,59000,debt_consolidation,RENT,paid off
6675,36 months,74500,debt_consolidation,MORTGAGE,paid off
5500,36 months,32000,debt_consolidation,MORTGAGE,paid off
10000,36 months,120000,debt_consolidation,MORTGAGE,paid off
15000,36 months,73300,credit_card,RENT,paid off
17050,36 months,35000,debt_consolidation,OWN,default
16000,36 months,65000,debt_consolidation,RENT,paid off
10000,36 months,48000,credit_card,RENT,default
9625,36 months,70000,credit_card,MORTGAGE,default
12000,36 months,42000,debt_consolidation,RENT,paid off
6000,36 months,32000,debt_consolidation,RENT,default
5800,36 months,98785,major_purchase,MORTGAGE,default
6000,36 months,38268,home_improvement,MORTGAGE,paid off
25000,36 months,128000,credit_card,MORTGAGE,paid off
35000,60 months,105000,debt_consolidation,MORTGAGE,default
6900,36 months,58000,major_purchase,RENT,default
12000,60 months,82000,debt_consolidation,RENT,default
21725,60 months,55000,debt_consolidation,MORTGAGE,default
10750,36 months,33000,debt_consolidation,OWN,default
15000,36 months,60000,debt_consolidation,RENT,paid off
6500,36 months,52800,debt_consolidation,RENT,paid off
4950,36 months,45000,other,RENT,default
20000,36 months,180000,credit_card,MORTGAGE,paid off
13375,36 months,41000,debt_consolidation,MORTGAGE,default
8000,36 months,143400,debt_consolidation,RENT,paid off
3750,36 months,70000,home_improvement,MORTGAGE,paid off
15000,60 months,49000,debt_consolidation,RENT,default
25475,36 months,63000,debt_consolidation,MORTGAGE,default
4800,36 months,41000,debt_consolidation,RENT,default
12000,60 months,58500,debt_consolidation,MORTGAGE,paid off
18725,36 months,50000,debt_consolidation,RENT,default
24000,60 months,200000,debt_consolidation,MORTGAGE,paid off
16000,60 months,85000,debt_consolidation,MORTGAGE,paid off
25375,60 months,60424,debt_consolidation,MORTGAGE,paid off
25000,36 months,80000,debt_consolidation,RENT,paid off
13000,60 months,54000,other,OWN,default
2500,36 months,40000,small_business,MORTGAGE,default
1200,36 months,34000,other,RENT,paid off
12000,36 months,95000,debt_consolidation,MORTGAGE,paid off
5000,36 months,96000,debt_consolidation,MORTGAGE,paid off
3600,36 months,34000,credit_card,OWN,paid off
10000,36 months,35000,credit_card,MORTGAGE,paid off
27000,36 months,100000,debt_consolidation,RENT,paid off
8000,36 months,43000,car,OWN,default
9000,36 months,35000,other,MORTGAGE,default
5600,36 months,35004,debt_consolidation,RENT,default
19750,36 months,52994,other,RENT,default
10000,36 months,135000,credit_card,MORTGAGE,paid off
10400,36 months,68000,wedding,RENT,paid off
5250,36 months,58600,credit_card,MORTGAGE,default
21000,36 months,106000,home_improvement,MORTGAGE,paid off
4200,36 months,98000,debt_consolidation,RENT,default
35000,36 months,83930,home_improvement,MORTGAGE,default
12800,36 months,80000,debt_consolidation,MORTGAGE,paid off
8700,36 months,25044,small_business,MORTGAGE,default
6000,36 months,35000,other,RENT,paid off
5000,36 months,105000,debt_consolidation,MORTGAGE,paid off
2650,36 months,41500,debt_consolidation,RENT,default
3000,36 months,40000,credit_card,RENT,default
1600,36 months,35000,credit_card,RENT,paid off
33425,60 months,75000,home_improvement,MORTGAGE,default
10000,36 months,55000,other,OWN,default
25000,36 months,65000,debt_consolidation,MORTGAGE,default
8000,36 months,35000,debt_consolidation,MORTGAGE,paid off
22750,60 months,60000,debt_consolidation,RENT,default
7800,36 months,550000,debt_consolidation,RENT,default
27575,60 months,130000,debt_consolidation,MORTGAGE,default
20000,60 months,78400,debt_consolidation,MORTGAGE,default
20000,60 months,127000,debt_consolidation,RENT,default
6500,36 months,55000,credit_card,RENT,paid off
11000,36 months,55000,debt_consolidation,RENT,paid off
10000,36 months,65000,debt_consolidation,MORTGAGE,paid off
26000,60 months,207000,home_improvement,MORTGAGE,paid off
5000,36 months,42500,debt_consolidation,RENT,default
11000,36 months,75000,other,OWN,paid off
5825,36 months,26000,debt_consolidation,RENT,paid off
1500,36 months,41600,vacation,MORTGAGE,paid off
16800,36 months,70000,debt_consolidation,RENT,default
16000,60 months,75000,debt_consolidation,MORTGAGE,default
25000,60 months,108000,home_improvement,MORTGAGE,paid off
24000,60 months,185000,debt_consolidation,RENT,paid off
2575,36 months,50000,debt_consolidation,RENT,default
7200,36 months,75000,credit_card,MORTGAGE,paid off
16000,36 months,65000,debt_consolidation,RENT,paid off
21000,36 months,100000,debt_consolidation,RENT,default
25975,60 months,65000,debt_consolidation,MORTGAGE,paid off
25850,60 months,71300,debt_consolidation,RENT,default
12000,36 months,45000,debt_consolidation,OWN,paid off
30000,60 months,95000,debt_consolidation,MORTGAGE,default
